Store Code,POD code,Bills,Amount,Ave Bill
CR,0,1,0,0
UL,F-03,1,0,0
NS,I-09,1,0,0
TH,X-99,1,0,0
TH,E-53,2,0,0
TE,X-99,2,0,0
SS,F-04,3,0,0
CC,X-99,3,0,0
MZ,X-99,4,0,0
JP,X-99,6,0,0
ST,X-99,6,0,0
YJ,X-99,9,0,0
WT,X-99,11,0,0
KE,X-99,12,0,0
ZH,X-99,15,0,0
PJ,X-99,17,0,0
HD,X-99,19,0,0
JF,X-99,37,0,0
KE,Others,61,0,0
DT,X-99,64,0,0
NL,X-99,92,0,0
CR,X-99,198,0,0
JF,Others,218,0,0
FH,X-99,385,274,0.71
JK,X-99,1964,2180,1.11
ZY,X-99,1315,1836,1.4
SZ,X-99,1028,1487,1.45
YT,X-99,204,660,3.24
KF,X-99,378,1339,3.54
DY,X-99,1370,5237,3.82
CL,X-99,149,738,4.95
HS,X-99,1654,9733,5.88
CK,X-99,885,7228,8.17
TK,X-99,151,1300,8.61
FG,X-99,1400,12059,8.61
TS,X-99,673,6085,9.04
NQ,X-99,346,3415,9.87
RZ,X-99,1169,13105,11.21
PK,X-99,730,8196,11.23
CG,X-99,35,398,11.37
TB,X-99,1473,16819,11.42
SS,X-99,224,3159,14.1
QH,X-99,779,13970,17.93
XS,X-99,101,1915,18.96
MA,X-99,231,4882,21.13
SL,X-99,117,2509,21.44
TI,X-99,246,5932,24.11
RJ,X-99,32,829,25.91
LM,X-99,576,16371,28.42
FW,X-99,103,2971,28.84
MG,X-99,77,2230,28.96
ZT,Others,328,9568,29.17
YW,X-99,85,2689,31.64
DO,X-99,852,28070,32.95
CU,X-99,2582,86718,33.59
LS,3,1,34,34
SD,X-99,18,700,38.89
PW,X-99,50,2002,40.04
QH,Others,2292,97498,42.54
SM,X-99,116,5237,45.15
SH,X-99,85,3934,46.28
KG,X-99,242,11816,48.83
LC,X-99,346,18800,54.34
DT,Others,3722,207487,55.75
WQ,Others,3085,179283,58.11
TA,X-99,150,8789,58.59
NC,Others,5190,309889,59.71
JR,X-99,191,11724,61.38
JW,X-99,2,125,62.5
TY,X-99,153,9838,64.3
MA,Others,5489,359616,65.52
FG,Others,3695,249463,67.51
PT,X-99,128,8786,68.64
DY,Others,2683,184782,68.87
ZT,X-99,104,7259,69.8
KD,X-99,182,13012,71.49
PS,Others,3080,231398,75.13
SZ,Others,3420,270904,79.21
MQ,X-99,1,80,80
HL,X-99,36,2926,81.28
SC,Others,4294,349364,81.36
CA,X-99,60,4899,81.65
PK,Others,2715,227181,83.68
YS,X-99,36,3133,87.03
DO,Others,2254,200351,88.89
JU,X-99,14,1248,89.14
FY,X-99,863,80917,93.76
PJ,Others,2799,268693,96
CT,Others,4964,479512,96.6
SA,X-99,1,100,100
ZH,Others,266,26708,100.41
FS,X-99,212,21335,100.64
PW,Others,3422,359460,105.04
SP,X-99,115,12451,108.27
CK,Others,1983,231511,116.75
YG,Others,601,70486,117.28
MH,X-99,87,10213,117.39
GM,X-99,17,2058,121.06
CA,Others,2415,298563,123.63
ZY,Others,1265,158060,124.95
CT,L-05,1,128,128
PC,Others,2487,321413,129.24
MS,X-99,68,9155,134.63
TA,Others,2886,390728,135.39
HD,Others,2170,296680,136.72
UH,X-99,1160,160656,138.5
CU,Others,3030,432343,142.69
RJ,Others,305,43553,142.8
