COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
66000,臺中市,66000110,大甲區,66000110-002,大甲里,454,1255,626,629,108Y12M
66000,臺中市,66000110,大甲區,66000110-009,中山里,1781,5252,2533,2719,108Y12M
66000,臺中市,66000110,大甲區,66000110-021,太白里,406,1471,758,713,108Y12M
66000,臺中市,66000110,大甲區,66000110-004,孔門里,383,1001,538,463,108Y12M
66000,臺中市,66000110,大甲區,66000110-014,文曲里,355,1264,640,624,108Y12M
66000,臺中市,66000110,大甲區,66000110-016,文武里,2071,6687,3244,3443,108Y12M
66000,臺中市,66000110,大甲區,66000110-024,日南里,2039,6739,3406,3333,108Y12M
66000,臺中市,66000110,大甲區,66000110-005,平安里,785,2642,1310,1332,108Y12M
66000,臺中市,66000110,大甲區,66000110-019,江南里,461,1618,838,780,108Y12M
66000,臺中市,66000110,大甲區,66000110-026,西岐里,559,1977,983,994,108Y12M
66000,臺中市,66000110,大甲區,66000110-006,庄美里,769,2512,1273,1239,108Y12M
66000,臺中市,66000110,大甲區,66000110-017,奉化里,807,2488,1201,1287,108Y12M
66000,臺中市,66000110,大甲區,66000110-022,孟春里,1490,4980,2449,2531,108Y12M
66000,臺中市,66000110,大甲區,66000110-008,岷山里,792,2566,1299,1267,108Y12M
66000,臺中市,66000110,大甲區,66000110-023,幸福里,937,3085,1597,1488,108Y12M
66000,臺中市,66000110,大甲區,66000110-015,武曲里,536,2131,1077,1054,108Y12M
66000,臺中市,66000110,大甲區,66000110-013,武陵里,381,1385,723,662,108Y12M
66000,臺中市,66000110,大甲區,66000110-010,南陽里,348,962,481,481,108Y12M
66000,臺中市,66000110,大甲區,66000110-029,建興里,481,1725,888,837,108Y12M
66000,臺中市,66000110,大甲區,66000110-020,頂店里,1684,5568,2788,2780,108Y12M
66000,臺中市,66000110,大甲區,66000110-001,朝陽里,573,1745,843,902,108Y12M
66000,臺中市,66000110,大甲區,66000110-003,順天里,646,1838,928,910,108Y12M
66000,臺中市,66000110,大甲區,66000110-007,新美里,1320,4191,2090,2101,108Y12M
66000,臺中市,66000110,大甲區,66000110-012,義和里,1126,3869,1964,1905,108Y12M
66000,臺中市,66000110,大甲區,66000110-028,福德里,382,1310,652,658,108Y12M
66000,臺中市,66000110,大甲區,66000110-027,銅安里,470,1674,887,787,108Y12M
66000,臺中市,66000110,大甲區,66000110-018,德化里,596,2094,1080,1014,108Y12M
66000,臺中市,66000110,大甲區,66000110-025,龍泉里,511,1778,934,844,108Y12M
66000,臺中市,66000110,大甲區,66000110-011,薰風里,370,1015,499,516,108Y12M
66000,臺中市,66000220,大安區,66000220-003,中庄里,892,3126,1651,1475,108Y12M
66000,臺中市,66000220,大安區,66000220-008,永安里,580,2048,1093,955,108Y12M
66000,臺中市,66000220,大安區,66000220-011,西安里,564,2054,1062,992,108Y12M
66000,臺中市,66000220,大安區,66000220-006,東安里,442,1448,744,704,108Y12M
66000,臺中市,66000220,大安區,66000220-012,松雅里,343,1091,573,518,108Y12M
66000,臺中市,66000220,大安區,66000220-002,南庄里,344,1171,631,540,108Y12M
66000,臺中市,66000220,大安區,66000220-001,南埔里,358,1197,628,569,108Y12M
66000,臺中市,66000220,大安區,66000220-010,海墘里,510,1619,853,766,108Y12M
66000,臺中市,66000220,大安區,66000220-007,頂安里,293,1040,533,507,108Y12M
66000,臺中市,66000220,大安區,66000220-009,福住里,358,1209,643,566,108Y12M
66000,臺中市,66000220,大安區,66000220-005,福興里,393,1327,720,607,108Y12M
66000,臺中市,66000220,大安區,66000220-004,龜■里,506,1781,957,824,108Y12M
66000,臺中市,66000240,大肚區,66000240-008,大肚里,862,2627,1274,1353,108Y12M
66000,臺中市,66000240,大肚區,66000240-007,大東里,1143,3686,1881,1805,108Y12M
66000,臺中市,66000240,大肚區,66000240-013,山陽里,520,1575,798,777,108Y12M
66000,臺中市,66000240,大肚區,66000240-002,中和里,274,1022,519,503,108Y12M
66000,臺中市,66000240,大肚區,66000240-001,王田里,1489,5135,2698,2437,108Y12M
66000,臺中市,66000240,大肚區,66000240-009,永和里,308,966,492,474,108Y12M
66000,臺中市,66000240,大肚區,66000240-011,永順里,571,2004,1080,924,108Y12M
66000,臺中市,66000240,大肚區,66000240-012,成功里,316,1125,594,531,108Y12M
66000,臺中市,66000240,大肚區,66000240-017,自強里,1484,4060,2004,2056,108Y12M
66000,臺中市,66000240,大肚區,66000240-005,社腳里,831,2870,1480,1390,108Y12M
66000,臺中市,66000240,大肚區,66000240-014,頂街里,3032,9128,4583,4545,108Y12M
66000,臺中市,66000240,大肚區,66000240-006,新興里,973,3051,1600,1451,108Y12M
66000,臺中市,66000240,大肚區,66000240-015,瑞井里,1930,6137,3149,2988,108Y12M
66000,臺中市,66000240,大肚區,66000240-003,福山里,1293,4234,2156,2078,108Y12M
66000,臺中市,66000240,大肚區,66000240-016,蔗■里,1887,5765,2907,2858,108Y12M
66000,臺中市,66000240,大肚區,66000240-004,營埔里,475,1716,894,822,108Y12M
66000,臺中市,66000240,大肚區,66000240-010,磺溪里,626,1984,1011,973,108Y12M
66000,臺中市,66000280,大里區,66000280-012,大元里,1591,5157,2575,2582,108Y12M
66000,臺中市,66000280,大里區,66000280-001,大里里,1379,4188,2070,2118,108Y12M
66000,臺中市,66000280,大里區,66000280-022,大明里,1762,4877,2367,2510,108Y12M
66000,臺中市,66000280,大里區,66000280-025,中新里,2334,6641,3162,3479,108Y12M
66000,臺中市,66000280,大里區,66000280-014,仁化里,3195,10504,5251,5253,108Y12M
66000,臺中市,66000280,大里區,66000280-027,仁德里,2266,7461,3653,3808,108Y12M
66000,臺中市,66000280,大里區,66000280-008,內新里,3813,10086,4760,5326,108Y12M
66000,臺中市,66000280,大里區,66000280-006,日新里,1661,4824,2404,2420,108Y12M
66000,臺中市,66000280,大里區,66000280-023,永隆里,4320,13442,6296,7146,108Y12M
66000,臺中市,66000280,大里區,66000280-010,立仁里,2193,6318,3142,3176,108Y12M
66000,臺中市,66000280,大里區,66000280-026,立德里,3182,9441,4681,4760,108Y12M
66000,臺中市,66000280,大里區,66000280-020,西湖里,1070,3477,1730,1747,108Y12M
66000,臺中市,66000280,大里區,66000280-007,西榮里,2403,6786,3295,3491,108Y12M
66000,臺中市,66000280,大里區,66000280-009,東昇里,1352,4107,2049,2058,108Y12M
66000,臺中市,66000280,大里區,66000280-019,東湖里,4326,12264,5972,6292,108Y12M
66000,臺中市,66000280,大里區,66000280-004,東興里,2783,8352,4029,4323,108Y12M
66000,臺中市,66000280,大里區,66000280-018,金城里,3993,11783,5785,5998,108Y12M
66000,臺中市,66000280,大里區,66000280-024,長榮里,3706,10818,5121,5697,108Y12M
66000,臺中市,66000280,大里區,66000280-013,夏田里,355,1149,621,528,108Y12M
66000,臺中市,66000280,大里區,66000280-015,健民里,1749,5238,2661,2577,108Y12M
66000,臺中市,66000280,大里區,66000280-021,國光里,2271,7033,3415,3618,108Y12M
66000,臺中市,66000280,大里區,66000280-005,祥興里,3186,8264,3986,4278,108Y12M
66000,臺中市,66000280,大里區,66000280-016,塗城里,3157,10048,5130,4918,108Y12M
66000,臺中市,66000280,大里區,66000280-011,新仁里,2991,9163,4565,4598,108Y12M
66000,臺中市,66000280,大里區,66000280-002,新里里,4474,12446,6292,6154,108Y12M
66000,臺中市,66000280,大里區,66000280-017,瑞城里,4468,14308,6952,7356,108Y12M
66000,臺中市,66000280,大里區,66000280-003,樹王里,1324,4536,2223,2313,108Y12M
66000,臺中市,66000180,大雅區,66000180-010,二和里,2323,7387,3618,3769,108Y12M
66000,臺中市,66000180,大雅區,66000180-007,三和里,1951,6447,3219,3228,108Y12M
66000,臺中市,66000180,大雅區,66000180-012,上雅里,2562,7368,3653,3715,108Y12M
66000,臺中市,66000180,大雅區,66000180-009,上楓里,2245,7523,3804,3719,108Y12M
66000,臺中市,66000180,大雅區,66000180-001,大雅里,1753,5300,2601,2699,108Y12M
66000,臺中市,66000180,大雅區,66000180-014,大楓里,1890,5998,2932,3066,108Y12M
66000,臺中市,66000180,大雅區,66000180-003,六寶里,2448,7475,3746,3729,108Y12M
66000,臺中市,66000180,大雅區,66000180-013,文雅里,2411,7218,3562,3656,108Y12M
66000,臺中市,66000180,大雅區,66000180-011,四德里,1759,5729,2834,2895,108Y12M
66000,臺中市,66000180,大雅區,66000180-008,西寶里,1679,5828,2961,2867,108Y12M
66000,臺中市,66000180,大雅區,66000180-004,秀山里,1148,3977,2051,1926,108Y12M
66000,臺中市,66000180,大雅區,66000180-005,忠義里,1636,4256,2101,2155,108Y12M
66000,臺中市,66000180,大雅區,66000180-002,員林里,3417,11664,5753,5911,108Y12M
66000,臺中市,66000180,大雅區,66000180-015,雅楓里,1459,4403,2146,2257,108Y12M
66000,臺中市,66000180,大雅區,66000180-006,橫山里,1617,5199,2676,2523,108Y12M
66000,臺中市,66000010,中區,66000010-007,大誠里,1283,2945,1478,1467,108Y12M
66000,臺中市,66000010,中區,66000010-002,大墩里,997,2657,1257,1400,108Y12M
66000,臺中市,66000010,中區,66000010-008,中華里,1118,2354,1170,1184,108Y12M
66000,臺中市,66000010,中區,66000010-004,公園里,755,1761,869,892,108Y12M
66000,臺中市,66000010,中區,66000010-005,光復里,1026,2493,1201,1292,108Y12M
66000,臺中市,66000010,中區,66000010-006,柳川里,1069,2237,1153,1084,108Y12M
66000,臺中市,66000010,中區,66000010-003,綠川里,894,2076,1034,1042,108Y12M
66000,臺中市,66000010,中區,66000010-001,繼光里,824,1867,913,954,108Y12M
66000,臺中市,66000270,太平區,66000270-035,大興里,963,2880,1447,1433,108Y12M
66000,臺中市,66000270,太平區,66000270-008,中山里,1760,4152,2228,1924,108Y12M
66000,臺中市,66000270,太平區,66000270-003,中平里,1617,4956,2484,2472,108Y12M
66000,臺中市,66000270,太平區,66000270-024,中政里,1537,4440,2255,2185,108Y12M
66000,臺中市,66000270,太平區,66000270-004,中興里,1246,3894,1978,1916,108Y12M
66000,臺中市,66000270,太平區,66000270-001,太平里,2047,6568,3343,3225,108Y12M
66000,臺中市,66000270,太平區,66000270-025,平安里,842,2689,1377,1312,108Y12M
66000,臺中市,66000270,太平區,66000270-021,永平里,1637,4845,2378,2467,108Y12M
66000,臺中市,66000270,太平區,66000270-020,永成里,2629,8264,4083,4181,108Y12M
66000,臺中市,66000270,太平區,66000270-039,永隆里,958,3029,1525,1504,108Y12M
66000,臺中市,66000270,太平區,66000270-033,光明里,1638,4418,2161,2257,108Y12M
66000,臺中市,66000270,太平區,66000270-010,光華里,2097,6050,2929,3121,108Y12M
66000,臺中市,66000270,太平區,66000270-017,光隆里,1164,3761,1936,1825,108Y12M
66000,臺中市,66000270,太平區,66000270-022,成功里,1582,4746,2340,2406,108Y12M
66000,臺中市,66000270,太平區,66000270-009,坪林里,1263,3817,1911,1906,108Y12M
66000,臺中市,66000270,太平區,66000270-031,宜佳里,2497,7172,3477,3695,108Y12M
66000,臺中市,66000270,太平區,66000270-032,宜昌里,1600,4454,2241,2213,108Y12M
66000,臺中市,66000270,太平區,66000270-007,宜欣里,2427,7253,3598,3655,108Y12M
66000,臺中市,66000270,太平區,66000270-006,東平里,1662,5074,2469,2605,108Y12M
66000,臺中市,66000270,太平區,66000270-015,東汴里,459,1347,716,631,108Y12M
66000,臺中市,66000270,太平區,66000270-023,東和里,1111,3457,1705,1752,108Y12M
66000,臺中市,66000270,太平區,66000270-002,長億里,2363,7397,3600,3797,108Y12M
66000,臺中市,66000270,太平區,66000270-005,建國里,1114,3429,1687,1742,108Y12M
66000,臺中市,66000270,太平區,66000270-026,建興里,1232,3400,1699,1701,108Y12M
66000,臺中市,66000270,太平區,66000270-019,黃竹里,316,718,426,292,108Y12M
66000,臺中市,66000270,太平區,66000270-036,勤益里,899,2531,1206,1325,108Y12M
66000,臺中市,66000270,太平區,66000270-012,新光里,2980,8994,4456,4538,108Y12M
66000,臺中市,66000270,太平區,66000270-029,新吉里,2326,6937,3416,3521,108Y12M
66000,臺中市,66000270,太平區,66000270-011,新坪里,3417,9391,4598,4793,108Y12M
66000,臺中市,66000270,太平區,66000270-030,新城里,2461,6760,3251,3509,108Y12M
66000,臺中市,66000270,太平區,66000270-028,新高里,3637,9336,4445,4891,108Y12M
66000,臺中市,66000270,太平區,66000270-013,新福里,2986,7946,3717,4229,108Y12M
66000,臺中市,66000270,太平區,66000270-027,新興里,2535,6790,3248,3542,108Y12M
66000,臺中市,66000270,太平區,66000270-037,聖和里,598,1755,917,838,108Y12M
66000,臺中市,66000270,太平區,66000270-038,福隆里,1388,4221,2119,2102,108Y12M
66000,臺中市,66000270,太平區,66000270-018,德隆里,1918,5814,2941,2873,108Y12M
66000,臺中市,66000270,太平區,66000270-016,興隆里,1265,3886,1952,1934,108Y12M
66000,臺中市,66000270,太平區,66000270-014,頭汴里,678,2087,1113,974,108Y12M
66000,臺中市,66000270,太平區,66000270-034,豐年里,1712,5071,2497,2574,108Y12M
66000,臺中市,66000080,北屯區,66000080-013,■子里,6493,15474,7277,8197,108Y12M
