fid,Store.Name,Store_CD,Capacity
15,Ta Ya,TY,50
21,Da-Li (Delco) (DL),DL,50
23,Bei-Tung (BT),BT,50
26,Tai-ping (JW),JW,50
33,Tung Lai (DD),DD,50
38,Lee-Ming (LM),LM,50
48,Fengyuan (FY),FY,50
51,Sa Sa Lu (SA),SA,50
58,Taichung Gung Shlue (GS),GS,50
73,Tan TZ (TZ),TZ,50
75,Chi Tun Delco (CT),CT,50
93,Taichung Zhong Ke Delco (ZK),ZK,50
98,Taichung Wu Feng (WF),WF,50
109,Taichung Zhongxing East (ZS),ZS,50
111,Taichung Yatan (ET),ET,50
123,Fu Hsin (FH),FH,50
133,Mei-Tsung (MT),MT,50
136,Da Keng (DK),DK,50
142,Taichung Wuri (WZ),WZ,50
153,Taichung Houli (OL),OL,50
159,TG - Dajia Taichung,TG,50
165,DT Taichung Sanxi,DT,50
172,WJ,WJ,50
177,DR,DR,50
179,WQ,WQ,50
183,SQ,SQ,50
186,EH,EH,50
234,QH,QH,50
